region,mean_p,cmro2,cmrglu,mean_i
Limbic_OFC_7 L,4.9805844192751596e-11,3826.3486,4657.2935,2.1114808159262502e-09
Limbic_OFC_7 R,4.1620108751436296e-11,5221.4575,6540.846,2.61750381803262e-09
Limbic_OFC_8 L,2.2926328584610397e-11,4910.1133,6240.586,1.24604224480662e-09
Limbic_OFC_8 R,2.3839790397107198e-11,4755.6055,6044.672,1.53259194476044e-09
Limbic_OFC_9 R,2.47840637138e-11,4941.6406,6435.024,1.86379615728907e-09
Limbic_TempPole_1 L,8.58183414850313e-11,4119.635,4649.8345,6.01418699718042e-09
Limbic_TempPole_1 R,8.98469042036991e-11,4192.33,4804.5728,6.043115795910921e-09
Limbic_TempPole_10 L,7.18638971769772e-12,4892.4434,5690.5464,1.4248431247816801e-09
Limbic_TempPole_10 R,1.50803105151866e-11,4125.76,4688.6846,1.9190315759212602e-09
Limbic_TempPole_11 L,1.71732635944925e-11,4105.0293,4715.7344,1.6101786646180101e-09
Limbic_TempPole_11 R,3.6017015951940996e-12,4289.9126,4784.711,5.23390472005275e-10
Limbic_TempPole_12 L,1.0134604186357099e-11,4426.1743,5120.3657,1.45540694262516e-09
Limbic_TempPole_13 L,1.70417305323028e-12,3677.0083,4018.9287,3.22256303657768e-10
Limbic_TempPole_14 L,4.44782492871496e-12,4115.121,4474.0244,7.02237338779712e-10
Limbic_TempPole_2 L,3.24858307062937e-11,4303.567,5187.631,3.3371128122370402e-09
Limbic_TempPole_2 R,3.0462661431157e-11,4138.4985,4709.7393,2.2685501555824704e-09
Limbic_TempPole_3 L,2.8384153421938898e-11,3907.2583,4449.62,2.87169010016781e-09
Limbic_TempPole_3 R,2.5316877584823798e-11,3976.0469,4394.018,2.68260806457763e-09
Limbic_TempPole_4 L,6.793429868241279e-11,4301.7754,4997.5415,4.85801251297105e-09
Limbic_TempPole_4 R,2.9567733864800196e-11,4172.083,4930.022,2.80480618919705e-09
Limbic_TempPole_5 L,1.8593794030283e-11,4353.3486,5114.4995,2.2636422314101904e-09
Limbic_TempPole_5 R,1.4191555974105699e-11,3469.3716,3871.2368,1.3701332723004e-09
Limbic_TempPole_6 L,1.29625005347351e-11,3546.3774,4101.2236,1.2489450048488e-09
Limbic_TempPole_6 R,2.69931545105972e-11,4518.0376,5516.545,2.8493945294751203e-09
Limbic_TempPole_7 L,3.79043138650837e-12,3957.695,4727.8027,4.865654664203e-10
Limbic_TempPole_7 R,8.83252451256889e-12,3746.2837,4116.2085,1.07975607865148e-09
Limbic_TempPole_8 L,1.07796834585558e-11,4661.9346,5749.235,1.6336246562317e-09
Limbic_TempPole_8 R,1.5224593033300797e-11,4688.7676,5414.1167,2.40298842969855e-09
Limbic_TempPole_9 L,8.22234506656377e-11,4126.4697,4711.012,6.173994501253591e-09
Limbic_TempPole_9 R,3.9643645125660395e-11,4195.88,4838.1455,3.8014102950214204e-09
SalVentAttn_FrOperIns_1 L,7.21760649596458e-13,4167.9873,4156.8105,2.06298815034376e-10
SalVentAttn_FrOperIns_1 R,2.27344121851603e-12,4105.3247,4314.2935,3.26698284127071e-10
SalVentAttn_FrOperIns_10 L,7.55255446693156e-12,5352.448,6345.1104,1.3276549932095102e-09
SalVentAttn_FrOperIns_10 R,7.2591066555610996e-12,5434.0615,6621.249,1.42637404144461e-09
SalVentAttn_FrOperIns_11 L,4.928432021908899e-12,5344.814,6847.6743,8.29832687433608e-10
SalVentAttn_FrOperIns_11 R,5.33417110401731e-12,5502.853,7089.0273,1.10578184242588e-09
