"region","mean_p_excl","sub11_p","excess","ratio","is_frontal"
"Default_PFCdPFCm_17 R",1.0490351181754e-11,2.80255396789296e-11,1.75351884971756e-11,2.67155400170729,TRUE
"SomMot_2 L",4.86814182112493e-12,2.2351755049156e-11,1.74836132280311e-11,4.59143465216281,FALSE
"SomMot_27 R",8.05678186393665e-12,2.53602773266713e-11,1.73034954627347e-11,3.14769318010056,FALSE
"Cont_PFCl_1 R",3.56337065637997e-11,5.14755000640645e-11,1.58417935002648e-11,1.44457327143055,TRUE
"Cont_PFCmp_1 R",3.64535100079221e-12,1.91443184609869e-11,1.54989674601947e-11,5.25170784838729,TRUE
"SomMot_15 L",3.91689687656689e-12,1.93572150479315e-11,1.54403181713646e-11,4.94197719723932,FALSE
"Vis_3 L",3.114336900515e-12,1.769538617729e-11,1.4581049276775e-11,5.68191134824361,FALSE
"DorsAttn_Post_2 R",2.04002894334999e-11,3.42746393260854e-11,1.38743498925855e-11,1.68010554153227,FALSE
"Limbic_TempPole_7 R",8.83252451256888e-12,2.27021370830858e-11,1.38696125705169e-11,2.57028860217485,FALSE
"Vis_13 R",3.36120525083685e-12,1.69676407096218e-11,1.36064354587849e-11,5.04808229292076,FALSE
"Vis_9 L",1.33025425662672e-12,1.46505980981042e-11,1.33203438414775e-11,11.013381859236,FALSE
"SalVentAttn_FrOperIns_9 L",4.19123039117125e-12,1.73523211329242e-11,1.3161090741753e-11,4.14014967286851,TRUE
"DorsAttn_Post_1 L",6.91706129322492e-12,1.99341215092258e-11,1.30170602160009e-11,2.88187724008616,FALSE
"Default_PFC_24 L",1.09348313920261e-11,2.34702807315814e-11,1.25354493395553e-11,2.14637792665887,TRUE
"Default_Par_7 R",8.83686324012133e-12,2.09610945371912e-11,1.21242312970699e-11,2.37200621619028,FALSE
"Vis_10 L",8.88704329027168e-12,2.0959765702165e-11,1.20727224118933e-11,2.35846332886764,FALSE
"Default_Temp_11 L",8.57503144713592e-12,2.05090331503113e-11,1.19340017031754e-11,2.39171521139568,FALSE
"Cont_Par_7 L",9.30629358004472e-12,2.1144031060001e-11,1.18377374799563e-11,2.27201418890757,FALSE
"Vis_7 R",4.02872794307704e-12,1.58013660324577e-11,1.17726380893807e-11,3.92217252088485,FALSE
"Default_PFC_26 L",8.10186271014068e-12,1.97947144854738e-11,1.16928517753331e-11,2.44323005630517,TRUE
"SalVentAttn_FrOperIns_7 L",1.18368309636051e-12,1.25682524269636e-11,1.13845693306031e-11,10.617920003764,TRUE
"DorsAttn_Post_11 R",6.65581485696366e-12,1.79844595204623e-11,1.13286446634986e-11,2.70206727605201,FALSE
"Vis_20 R",2.61130842489265e-12,1.38932115858125e-11,1.12819031609199e-11,5.32040239037779,FALSE
"Vis_4 L",8.93341989004032e-12,2.02139849526566e-11,1.12805650626163e-11,2.26273758554579,FALSE
"Limbic_TempPole_6 L",1.29625005347351e-11,2.41887597556677e-11,1.12262592209326e-11,1.86605660619646,FALSE
"Limbic_TempPole_8 L",1.07796834585558e-11,2.19779871375798e-11,1.1198303679024e-11,2.03883418488843,FALSE
"SomMot_53 L",1.45490097144853e-11,2.54544431793876e-11,1.09054334649023e-11,1.74956534354669,FALSE
"Limbic_TempPole_13 L",1.70417305323028e-12,1.25891209946301e-11,1.08849479413998e-11,7.38723157883952,FALSE
"SalVentAttn_FrOperIns_5 R",4.55120862359307e-12,1.5427544883335e-11,1.08763362597419e-11,3.38976877556435,TRUE
"Vis_5 R",9.51290652073944e-12,2.01265925093163e-11,1.06136859885769e-11,2.11571431564449,FALSE
"DorsAttn_Post_21 R",6.1790745537094e-12,1.65677951524188e-11,1.03887205987094e-11,2.68127451909006,FALSE
"Cont_PFCl_6 L",6.14187912343432e-12,1.64160490809494e-11,1.02741699575151e-11,2.67280562691539,TRUE
"DorsAttn_Post_1 R",4.69417700000394e-12,1.49363084128315e-11,1.02421314128276e-11,3.18188010652751,FALSE
"SalVentAttn_FrOperIns_11 L",4.9284320219089e-12,1.51447004671238e-11,1.02162684452149e-11,3.07292469487241,TRUE
"DorsAttn_FEF_1 L",8.76987208971889e-12,1.89774154114499e-11,1.0207543321731e-11,2.16393297613742,TRUE
"Vis_16 L",2.68425480335973e-11,3.69221738313771e-11,1.00796257977798e-11,1.37550927673348,FALSE
"Vis_14 R",7.81550269009563e-12,1.78538469481099e-11,1.00383442580143e-11,2.28441440762801,FALSE
"DorsAttn_Post_27 L",1.67278044272898e-11,2.66806906010188e-11,9.95288617372898e-12,1.59499058689925,FALSE
"Default_PFCdPFCm_18 R",1.13137120739096e-11,2.11190654740804e-11,9.80535340017078e-12,1.8666787112943,TRUE
"Vis_1 L",9.69393316651782e-13,1.067988584245e-11,9.71049252579822e-12,11.017082188412,FALSE
"Cont_PFCv_1 L",1.15981626860277e-12,1.07719875470679e-11,9.61217127846513e-12,9.28766722684873,TRUE
"SalVentAttn_FrOperIns_3 L",1.68625023733411e-12,1.11725043974878e-11,9.48625416015369e-12,6.62565030392585,TRUE
"Vis_9 R",2.15315040829414e-11,3.08648019608029e-11,9.33329787786146e-12,1.43347170926419,FALSE
"DorsAttn_Post_19 R",1.11668629055461e-11,2.03828228238249e-11,9.21595991827882e-12,1.82529533999219,FALSE
"Vis_6 R",2.26164140569946e-12,1.12701606736606e-11,9.00851926796114e-12,4.98317754762501,FALSE
"Default_PFC_29 L",8.40877045172707e-12,1.73141172877035e-11,8.90534683597642e-12,2.05905457725361,TRUE
