region,cmro2,cmrglu
DorsAttn_Post_30 R,5297.0527,6444.379
DorsAttn_Post_31 R,4996.5293,6302.451
DorsAttn_FEF_1 R,5554.87,7207.0557
DorsAttn_FEF_2 R,5367.16,7139.59
DorsAttn_FEF_3 R,5434.5317,7029.0435
DorsAttn_FEF_4 R,5398.0713,6895.753
DorsAttn_PrCv_1 R,5665.1533,7330.8467
DorsAttn_PrCv_2 R,5735.3735,7131.3257
SalVentAttn_TempOccPar_1 R,5324.393,6440.7383
SalVentAttn_TempOccPar_2 R,5427.9536,6427.38
SalVentAttn_TempOccPar_3 R,5256.047,6276.8315
SalVentAttn_TempOccPar_4 R,5143.638,6189.184
SalVentAttn_TempOccPar_5 R,5244.9287,6219.9917
SalVentAttn_TempOccPar_6 R,5094.362,6179.675
SalVentAttn_TempOccPar_7 R,5388.901,6361.9785
SalVentAttn_TempOccPar_8 R,5098.372,6289.1636
SalVentAttn_TempOccPar_9 R,5131.7925,6273.6323
SalVentAttn_TempOccPar_10 R,4884.741,6060.692
SalVentAttn_TempOccPar_11 R,5075.1084,5981.1675
SalVentAttn_TempOccPar_12 R,4706.3867,5876.3643
SalVentAttn_PrC_1 R,5598.8896,7166.996
SalVentAttn_FrOperIns_1 R,4105.3247,4314.2935
SalVentAttn_FrOperIns_2 R,4677.4023,5368.609
SalVentAttn_FrOperIns_3 R,5209.9434,6718.1646
SalVentAttn_FrOperIns_4 R,4706.904,5420.39
SalVentAttn_FrOperIns_5 R,5181.952,6129.966
SalVentAttn_FrOperIns_6 R,5110.456,6601.117
SalVentAttn_FrOperIns_7 R,4919.2383,5979.787
SalVentAttn_FrOperIns_8 R,5380.8906,6771.487
SalVentAttn_FrOperIns_9 R,5384.3193,7085.521
SalVentAttn_FrOperIns_10 R,5434.0615,6621.249
SalVentAttn_FrOperIns_11 R,5502.853,7089.0273
SalVentAttn_FrOperIns_12 R,5383.0537,6873.0957
SalVentAttn_PFCl_1 R,5490.4414,7162.3984
SalVentAttn_Med_1 R,3055.9958,3652.296
SalVentAttn_Med_2 R,5075.617,6485.922
SalVentAttn_Med_3 R,4963.577,6051.5493
SalVentAttn_Med_4 R,5065.0586,5993.8984
SalVentAttn_Med_5 R,5194.126,6478.564
SalVentAttn_Med_6 R,5260.785,6721.9414
SalVentAttn_Med_7 R,5218.3833,6301.058
SalVentAttn_Med_8 R,4874.286,5978.099
SalVentAttn_Med_9 R,5430.355,6409.4165
SalVentAttn_Med_10 R,5320.634,6358.395
SalVentAttn_Med_11 R,5236.0044,6880.7603
SalVentAttn_Med_12 R,5369.569,6754.463
SalVentAttn_Med_13 R,4990.218,6634.28
Limbic_OFC_1 R,5091.9863,6113.2896
Limbic_OFC_2 R,5276.6475,6734.7007
Limbic_OFC_3 R,5004.7197,6141.934
Limbic_OFC_4 R,5091.55,6690.177
Limbic_OFC_5 R,5263.03,6673.149
Limbic_OFC_6 R,4534.0493,5356.558
Limbic_OFC_7 R,5221.4575,6540.846
Limbic_OFC_8 R,4755.6055,6044.672
Limbic_OFC_9 R,4941.6406,6435.024
Limbic_TempPole_1 R,4192.33,4804.5728
Limbic_TempPole_2 R,4138.4985,4709.7393
Limbic_TempPole_3 R,3976.0469,4394.018
Limbic_TempPole_4 R,4172.083,4930.022
Limbic_TempPole_5 R,3469.3716,3871.2368
Limbic_TempPole_6 R,4518.0376,5516.545
Limbic_TempPole_7 R,3746.2837,4116.2085
Limbic_TempPole_8 R,4688.7676,5414.1167
Limbic_TempPole_9 R,4195.88,4838.1455
Limbic_TempPole_10 R,4125.76,4688.6846
Limbic_TempPole_11 R,4289.9126,4784.711
