s17_name,s7_name
"SalVentAttnA_ParOper_5 R","SalVentAttn_TempOccPar_10 R"
"SalVentAttnA_PrC_1 R","SalVentAttn_PrC_1 R"
"SalVentAttnB_Cinga_1 R","SalVentAttn_Med_1 R"
"SalVentAttnB_IPL_1 R","SalVentAttn_TempOccPar_8 R"
"SalVentAttnB_IPL_2 R","Cont_Par_2 R"
"SalVentAttnB_Ins_1 L","Cont_PFCv_1 L"
"SalVentAttnB_Ins_1 R","Cont_PFCv_1 R"
"SalVentAttnB_Ins_2 L","Cont_PFCv_2 L"
"SalVentAttnB_Ins_2 R","SalVentAttn_FrOperIns_3 R"
"SalVentAttnB_Ins_3 L","SalVentAttn_FrOperIns_4 L"
"SalVentAttnB_Ins_3 R","SalVentAttn_FrOperIns_6 R"
"SalVentAttnB_Ins_4 L","SalVentAttn_FrOperIns_9 L"
"SalVentAttnB_Ins_4 R","SalVentAttn_FrOperIns_9 R"
"SalVentAttnB_PFCd_1 L","SalVentAttn_Med_13 L"
"SalVentAttnB_PFCd_1 R","Cont_PFCl_24 R"
"SalVentAttnB_PFCd_2 R","Cont_PFCl_25 R"
"SalVentAttnB_PFCl_1 L","Cont_PFCl_8 L"
"SalVentAttnB_PFCl_1 R","Cont_PFCl_12 R"
"SalVentAttnB_PFCl_2 L","SalVentAttn_PFCl_1 L"
"SalVentAttnB_PFCl_2 R","Cont_PFCl_13 R"
"SalVentAttnB_PFCl_3 L","SalVentAttn_PFCl_2 L"
"SalVentAttnB_PFCl_3 R","SalVentAttn_PFCl_1 R"
"SalVentAttnB_PFCl_4 L","Cont_PFCl_11 L"
"SalVentAttnB_PFClv_1 R","Cont_PFCl_6 R"
"SalVentAttnB_PFClv_2 R","Cont_PFCl_7 R"
"SalVentAttnB_PFCmp_1 L","Cont_Cing_2 L"
"SalVentAttnB_PFCmp_1 R","Cont_PFCmp_1 R"
"SalVentAttnB_PFCmp_2 L","SalVentAttn_Med_1 L"
"SalVentAttnB_PFCmp_2 R","SalVentAttn_Med_2 R"
"SalVentAttnB_PFCmp_3 L","Cont_PFCmp_2 L"
"SalVentAttnB_PFCmp_3 R","Cont_PFCmp_3 R"
"SalVentAttnB_PFCmp_4 R","SalVentAttn_Med_11 R"
"SomMotA_1 L","SomMot_25 L"
"SomMotA_1 R","SomMot_26 R"
"SomMotA_10 L","SomMot_37 L"
"SomMotA_10 R","SomMot_37 R"
"SomMotA_11 L","SomMot_38 L"
"SomMotA_11 R","SomMot_38 R"
"SomMotA_12 L","SomMot_39 L"
"SomMotA_12 R","SomMot_39 R"
"SomMotA_13 L","SomMot_40 L"
"SomMotA_13 R","SomMot_40 R"
"SomMotA_14 L","SomMot_41 L"
"SomMotA_14 R","SomMot_41 R"
"SomMotA_15 L","SomMot_42 L"
"SomMotA_15 R","SomMot_42 R"
"SomMotA_16 L","SomMot_43 L"
"SomMotA_16 R","SomMot_43 R"
"SomMotA_17 L","SomMot_44 L"
"SomMotA_17 R","SomMot_44 R"
"SomMotA_18 L","SomMot_45 L"
"SomMotA_18 R","SomMot_46 R"
"SomMotA_19 L","SomMot_46 L"
"SomMotA_19 R","SomMot_47 R"
"SomMotA_2 L","SomMot_26 L"
"SomMotA_2 R","SomMot_27 R"
"SomMotA_20 L","SomMot_47 L"
"SomMotA_20 R","SomMot_48 R"
"SomMotA_21 L","SomMot_48 L"
"SomMotA_21 R","SomMot_49 R"
"SomMotA_22 L","SomMot_49 L"
"SomMotA_22 R","SomMot_51 R"
"SomMotA_23 L","SomMot_50 L"
"SomMotA_23 R","SomMot_52 R"
"SomMotA_24 L","SomMot_51 L"
"SomMotA_24 R","SomMot_53 R"
"SomMotA_25 L","SomMot_52 L"
"SomMotA_25 R","SomMot_54 R"
"SomMotA_26 L","SomMot_53 L"
"SomMotA_26 R","SomMot_55 R"
"SomMotA_27 L","SomMot_54 L"
"SomMotA_27 R","SomMot_56 R"
"SomMotA_28 L","SomMot_55 L"
"SomMotA_29 L","SomMot_56 L"
"SomMotA_3 L","SomMot_29 L"
"SomMotA_3 R","SomMot_29 R"
"SomMotA_4 L","SomMot_30 L"
"SomMotA_4 R","SomMot_30 R"
"SomMotA_5 L","SomMot_31 L"
"SomMotA_5 R","SomMot_31 R"
"SomMotA_6 L","SomMot_32 L"
"SomMotA_6 R","SomMot_33 R"
"SomMotA_7 L","SomMot_33 L"
"SomMotA_7 R","SomMot_34 R"
"SomMotA_8 L","SomMot_34 L"
"SomMotA_8 R","SomMot_35 R"
"SomMotA_9 L","SomMot_35 L"
"SomMotA_9 R","SomMot_36 R"
"SomMotB_Aud_1 L","SomMot_1 L"
"SomMotB_Aud_1 R","SomMot_1 R"
"SomMotB_Aud_2 L","SomMot_2 L"
"SomMotB_Aud_2 R","SomMot_3 R"
"SomMotB_Aud_3 L","SomMot_3 L"
"SomMotB_Aud_3 R","SomMot_7 R"
"SomMotB_Aud_4 L","SomMot_4 L"
